IBXX - Carteira do Dia 16/11/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.481.593.024;2,718;2,718;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.205;0,433;0,433;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.646.296;0,205;2,331;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.681.435;0,579;2,331;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,072;2,331;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;190.059.275;0,078;2,331;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,096;2,331;
Bens Indls/Transporte;STBP3;SANTOS BRP;ON  EDJ NM;858.379.874;0,301;2,331;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,554;2,571;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.483;1,379;2,571;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;69.291.942;0,125;2,571;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;316.724.584;0,156;2,571;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.409.710;0,175;2,571;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,182;2,571;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.386.652.506;3,156;3,156;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;795.949.801;0,704;1,255;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,403;1,255;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,148;1,255;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,503;0,503;
Cons N Ciclico/Agropecuária;RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,232;0,425;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,193;0,425;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.086.291;0,337;2,724;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;60.358.029;0,240;2,724;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,270;2,724;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;970.515.779;1,103;2,724;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,469;2,724;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;335.672.329;0,124;2,724;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.576.975.642;0,181;2,724;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;202.765.994;0,156;0,156;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;274.142.301;0,187;0,380;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;94.318.339;0,071;0,380;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;298.436.955;0,122;0,380;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;275.967.676;0,075;0,075;
Diversos;COGN3;COGNA ON;ON      NM;1.820.405.422;0,202;3,263;
Diversos;RENT3;LOCALIZA;ON      NM;893.978.241;2,637;3,263;
Diversos;MOVI3;MOVIDA;ON      NM;131.875.326;0,061;3,263;
Diversos;VAMO3;VAMOS;ON      NM;314.797.346;0,197;3,263;
Diversos;YDUQ3;YDUQS PART;ON      NM;296.015.511;0,166;3,263;
Financ e Outros / Explor Imóveis;BRML3;BR MALLS PAR;ON      NM;828.273.884;0,325;0,789;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;216.457.368;0,182;0,789;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.145.328;0,282;0,789;
Financ e Outros / Interms Financs;BPAN4;BANCO PAN;PN      N1;341.549.703;0,113;16,634;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.508.883.586;0,892;16,634;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.156.077.326;3,526;16,634;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.731.069;2,333;16,634;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,432;16,634;
Financ e Outros / Interms Financs;ITSA4;ITAUSA;PN  EB  N1;5.209.666.310;2,103;16,634;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.799.907.051;5,771;16,634;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;355.642.848;0,464;16,634;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,939;1,525;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,104;1,525;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;179.759.767;0,181;1,525;
Financ e Outros / Previd  Seguros;SULA11;SUL AMERICA;UNT     N2;284.059.601;0,301;1,525;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.901.731.302;3,320;3,573;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON  EJ  NM;1.095.401.258;0,253;3,573;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;274.863.424;0,116;2,748;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,739;2,748;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,893;2,748;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN  EDJ N1;251.025.058;0,305;17,694;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;191.350.000;0,110;17,694;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON  EDJ N2;1.110.550.596;0,189;17,694;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.547.296.398;17,090;17,694;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.212.486;0,373;0,373;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.111.956.242;1,565;2,556;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;686.077.578;0,411;2,556;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;589.695.175;0,398;2,556;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.014.562;0,182;2,556;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,393;15,344;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;0,936;15,344;
Petróleo/ Gás e Biocombustíveis;ENAT3;ENAUTA PART;ON      NM;77.336.145;0,052;15,344;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.701.760.571;5,269;15,344;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.441.248;5,706;15,344;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,457;15,344;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,673;15,344;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.442.976;0,858;15,344;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;400.842.480;0,860;2,146;
