date;open;high;low;close;cod_yfinance
2014-09-17;465.864013671875;468.17401123046875;452.4219970703125;457.3340148925781;BTC-USD
2014-09-18;456.8599853515625;456.8599853515625;413.10400390625;424.44000244140625;BTC-USD
2014-09-19;424.1029968261719;427.8349914550781;384.5320129394531;394.7959899902344;BTC-USD
2014-09-20;394.6730041503906;423.2959899902344;389.88299560546875;408.90399169921875;BTC-USD
2014-09-21;408.0849914550781;412.4259948730469;393.1809997558594;398.8210144042969;BTC-USD
2014-09-22;399.1000061035156;406.9159851074219;397.1300048828125;402.1520080566406;BTC-USD
2014-09-23;402.0920104980469;441.5570068359375;396.1969909667969;435.7909851074219;BTC-USD
2014-09-24;435.7510070800781;436.11199951171875;421.1319885253906;423.2049865722656;BTC-USD
2014-09-25;423.156005859375;423.5199890136719;409.4679870605469;411.5740051269531;BTC-USD
2014-09-26;411.4289855957031;414.93798828125;400.0090026855469;404.42498779296875;BTC-USD
2014-09-27;403.5559997558594;406.62298583984375;397.37200927734375;399.5199890136719;BTC-USD
2014-09-28;399.47100830078125;401.0169982910156;374.3320007324219;377.1809997558594;BTC-USD
2014-09-29;376.9280090332031;385.21099853515625;372.239990234375;375.4670104980469;BTC-USD
2014-09-30;376.0880126953125;390.97698974609375;373.4429931640625;386.9440002441406;BTC-USD
2014-10-01;387.427001953125;391.3789978027344;380.7799987792969;383.614990234375;BTC-USD
2014-10-02;383.9880065917969;385.49700927734375;372.9460144042969;375.0719909667969;BTC-USD
2014-10-03;375.1809997558594;377.69500732421875;357.8590087890625;359.5119934082031;BTC-USD
2014-10-04;359.8919982910156;364.48699951171875;325.885986328125;328.8659973144531;BTC-USD
2014-10-05;328.9159851074219;341.8009948730469;289.2959899902344;320.510009765625;BTC-USD
2014-10-06;320.3890075683594;345.1340026855469;302.55999755859375;330.0790100097656;BTC-USD
2014-10-07;330.5840148925781;339.24700927734375;320.48199462890625;336.18701171875;BTC-USD
2014-10-08;336.1159973144531;354.364013671875;327.18798828125;352.94000244140625;BTC-USD
2014-10-09;352.74798583984375;382.72601318359375;347.68701171875;365.0260009765625;BTC-USD
2014-10-10;364.68701171875;375.0669860839844;352.9630126953125;361.56201171875;BTC-USD
2014-10-11;361.36199951171875;367.1910095214844;355.95098876953125;362.29901123046875;BTC-USD
2014-10-12;362.6059875488281;379.4330139160156;356.1440124511719;378.54901123046875;BTC-USD
2014-10-13;377.9209899902344;397.22601318359375;368.8970031738281;390.41400146484375;BTC-USD
2014-10-14;391.6919860839844;411.697998046875;391.3240051269531;400.8699951171875;BTC-USD
2014-10-15;400.9549865722656;402.22698974609375;388.7659912109375;394.77301025390625;BTC-USD
2014-10-16;394.51800537109375;398.8070068359375;373.07000732421875;382.5559997558594;BTC-USD
2014-10-17;382.7560119628906;385.4779968261719;375.3890075683594;383.75799560546875;BTC-USD
2014-10-18;383.97601318359375;395.1579895019531;378.97100830078125;391.4419860839844;BTC-USD
2014-10-19;391.2539978027344;393.9389953613281;386.4570007324219;389.5459899902344;BTC-USD
2014-10-20;389.2309875488281;390.0840148925781;378.25201416015625;382.8450012207031;BTC-USD
2014-10-21;382.4209899902344;392.64599609375;380.8340148925781;386.4750061035156;BTC-USD
2014-10-22;386.1180114746094;388.57598876953125;382.2489929199219;383.1579895019531;BTC-USD
2014-10-23;382.9620056152344;385.0480041503906;356.4469909667969;358.4169921875;BTC-USD
2014-10-24;358.59100341796875;364.3450012207031;353.30499267578125;358.3450012207031;BTC-USD
2014-10-25;358.6109924316406;359.8609924316406;342.87701416015625;347.27099609375;BTC-USD
2014-10-26;347.48699951171875;359.22100830078125;343.9309997558594;354.7040100097656;BTC-USD
2014-10-27;354.7770080566406;358.6319885253906;349.8089904785156;352.989013671875;BTC-USD
2014-10-28;353.2149963378906;359.9840087890625;352.6789855957031;357.6180114746094;BTC-USD
2014-10-29;357.0889892578125;357.8330078125;335.3429870605469;335.59100341796875;BTC-USD
2014-10-30;335.7090148925781;350.9129943847656;335.0719909667969;345.30499267578125;BTC-USD
2014-10-31;345.0090026855469;348.0450134277344;337.1419982910156;338.3210144042969;BTC-USD
2014-11-01;338.6499938964844;340.52899169921875;321.05499267578125;325.7489929199219;BTC-USD
2014-11-02;326.07501220703125;329.04998779296875;320.6260070800781;325.8919982910156;BTC-USD
2014-11-03;325.5690002441406;334.00201416015625;325.4809875488281;327.5539855957031;BTC-USD
2014-11-04;327.1610107421875;331.7669982910156;325.0769958496094;330.49200439453125;BTC-USD
2014-11-05;330.6830139160156;343.3689880371094;330.6830139160156;339.4859924316406;BTC-USD
2014-11-06;339.4580078125;352.96600341796875;338.42401123046875;349.2900085449219;BTC-USD
2014-11-07;349.8179931640625;352.73199462890625;341.7760009765625;342.4150085449219;BTC-USD
2014-11-08;342.15399169921875;347.0320129394531;342.15399169921875;345.4880065917969;BTC-USD
2014-11-09;345.3760070800781;363.6260070800781;344.2550048828125;363.2640075683594;BTC-USD
2014-11-10;362.2650146484375;374.8160095214844;357.5610046386719;366.92401123046875;BTC-USD
2014-11-11;365.85699462890625;371.30999755859375;363.7349853515625;367.69500732421875;BTC-USD
2014-11-12;367.9849853515625;429.7179870605469;367.9849853515625;423.5610046386719;BTC-USD
2014-11-13;427.27301025390625;457.0929870605469;401.12298583984375;420.7349853515625;BTC-USD
2014-11-14;418.4169921875;419.25201416015625;384.78900146484375;397.8179931640625;BTC-USD
2014-11-15;399.6499938964844;405.52801513671875;371.00799560546875;376.13299560546875;BTC-USD
2014-11-16;374.7300109863281;390.79901123046875;374.60198974609375;387.8819885253906;BTC-USD
2014-11-17;388.3489990234375;410.1990051269531;377.50201416015625;387.4079895019531;BTC-USD
2014-11-18;387.7850036621094;392.4020080566406;371.11700439453125;375.197998046875;BTC-USD
2014-11-19;373.89599609375;386.4809875488281;373.89599609375;380.55499267578125;BTC-USD
2014-11-20;380.3070068359375;382.0249938964844;356.781005859375;357.8399963378906;BTC-USD
2014-11-21;357.8789978027344;357.8789978027344;344.11199951171875;350.8479919433594;BTC-USD
2014-11-22;351.60400390625;364.84100341796875;350.87799072265625;352.9200134277344;BTC-USD
2014-11-23;353.17498779296875;370.8450012207031;353.17498779296875;367.572998046875;BTC-USD
2014-11-24;366.947998046875;387.2090148925781;366.66900634765625;376.9010009765625;BTC-USD
2014-11-25;376.885986328125;394.70098876953125;374.78399658203125;375.3479919433594;BTC-USD
2014-11-26;376.0190124511719;377.697998046875;365.8160095214844;368.3699951171875;BTC-USD
2014-11-27;370.50201416015625;373.99200439453125;368.2820129394531;369.6700134277344;BTC-USD
2014-11-28;369.3739929199219;382.8380126953125;358.4549865722656;376.4469909667969;BTC-USD
2014-11-29;376.1520080566406;387.60101318359375;372.1449890136719;375.4909973144531;BTC-USD
2014-11-30;375.510009765625;382.5270080566406;373.3089904785156;378.0469970703125;BTC-USD
2014-12-01;378.2489929199219;383.6619873046875;376.66900634765625;379.2449951171875;BTC-USD
2014-12-02;379.25;384.0379943847656;377.8630065917969;381.31500244140625;BTC-USD
2014-12-03;381.72198486328125;383.0260009765625;374.34600830078125;375.010009765625;BTC-USD
2014-12-04;375.7179870605469;378.6549987792969;367.7590026855469;369.60400390625;BTC-USD
2014-12-05;369.4419860839844;379.1919860839844;365.7560119628906;376.85400390625;BTC-USD
2014-12-06;376.7569885253906;378.447998046875;370.94500732421875;374.7850036621094;BTC-USD
2014-12-07;374.83599853515625;376.2919921875;373.2749938964844;375.0950012207031;BTC-USD
2014-12-08;374.9649963378906;376.02899169921875;361.885986328125;361.90899658203125;BTC-USD
2014-12-09;361.8949890136719;363.0669860839844;344.95098876953125;352.218994140625;BTC-USD
2014-12-10;352.2049865722656;352.3840026855469;346.364990234375;346.364990234375;BTC-USD
2014-12-11;344.3399963378906;361.35699462890625;338.76300048828125;350.5060119628906;BTC-USD
2014-12-12;350.8330078125;352.9830017089844;349.2909851074219;352.5419921875;BTC-USD
2014-12-13;352.3810119628906;352.3810119628906;346.5880126953125;347.3760070800781;BTC-USD
2014-12-14;346.72698974609375;353.3160095214844;345.4179992675781;351.6319885253906;BTC-USD
2014-12-15;351.3609924316406;351.81500244140625;344.9339904785156;345.3450012207031;BTC-USD
2014-12-16;345.6730041503906;345.8590087890625;327.06201171875;327.06201171875;BTC-USD
2014-12-17;326.8550109863281;333.9540100097656;315.1520080566406;319.7760009765625;BTC-USD
2014-12-18;319.7850036621094;323.7090148925781;304.23199462890625;311.39599609375;BTC-USD
2014-12-19;311.1789855957031;318.5329895019531;306.7690124511719;317.8429870605469;BTC-USD
2014-12-20;317.6189880371094;330.32501220703125;316.04400634765625;329.95599365234375;BTC-USD
2014-12-21;329.5429992675781;329.6289978027344;318.90301513671875;320.8429870605469;BTC-USD
2014-12-22;321.0679931640625;334.11700439453125;320.42498779296875;331.885986328125;BTC-USD
2014-12-23;332.0169982910156;336.2869873046875;329.60198974609375;334.5719909667969;BTC-USD
2014-12-24;334.385009765625;334.7409973144531;321.35699462890625;322.53399658203125;BTC-USD
2014-12-25;322.2860107421875;322.6700134277344;316.9580078125;319.00799560546875;BTC-USD
2014-12-26;319.1520080566406;331.42401123046875;316.62701416015625;327.92401123046875;BTC-USD
2014-12-27;327.5830078125;328.9110107421875;312.6300048828125;315.8630065917969;BTC-USD
2014-12-28;316.1600036621094;320.02801513671875;311.0780029296875;317.239013671875;BTC-USD
2014-12-29;317.70098876953125;320.2669982910156;312.3070068359375;312.6700134277344;BTC-USD
2014-12-30;312.718994140625;314.8089904785156;309.37298583984375;310.73699951171875;BTC-USD
2014-12-31;310.91400146484375;320.1929931640625;310.21099853515625;320.1929931640625;BTC-USD
2015-01-01;320.43499755859375;320.43499755859375;314.00299072265625;314.2489929199219;BTC-USD
2015-01-02;314.0790100097656;315.8389892578125;313.56500244140625;315.0320129394531;BTC-USD
2015-01-03;314.84600830078125;315.1499938964844;281.0820007324219;281.0820007324219;BTC-USD
2015-01-04;281.14599609375;287.2300109863281;257.61199951171875;264.19500732421875;BTC-USD
