IBOV - Carteira do Dia 21/11/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.481.593.024;2,840;2,840;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.205;0,509;0,509;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.646.296;0,209;2,119;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;1.115.681.435;0,617;2,119;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,073;2,119;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;190.059.275;0,077;2,119;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,143;2,119;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;73.573.028;0,032;0,032;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.076.512.610;0,537;2,331;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON  ED  NM;1.134.986.483;1,278;2,331;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;316.724.584;0,153;2,331;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;260.409.710;0,168;2,331;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,195;2,331;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.386.652.506;3,344;3,344;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;795.949.801;0,744;1,291;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,408;1,291;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,139;1,291;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,502;0,502;
Cons N Ciclico/Agropecuária;RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,248;0,451;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,203;0,451;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;596.086.291;0,302;2,718;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON      NM;60.358.029;0,260;2,718;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,275;2,718;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;970.515.779;1,148;2,718;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,442;2,718;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;335.672.329;0,121;2,718;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.576.975.642;0,170;2,718;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;202.765.994;0,157;0,157;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;274.142.301;0,182;0,374;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON  ED  NM;94.318.339;0,069;0,374;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;298.436.955;0,123;0,374;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;275.967.676;0,076;0,076;
Diversos;COGN3;COGNA ON;ON      NM;1.820.405.422;0,201;2,992;
Diversos;RENT3;LOCALIZA;ON      NM;893.978.241;2,628;2,992;
Diversos;YDUQ3;YDUQS PART;ON      NM;296.015.511;0,163;2,992;
Financ e Outros / Explor Imóveis;BRML3;BR MALLS PAR;ON      NM;828.273.884;0,337;0,815;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;216.457.368;0,188;0,815;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.145.328;0,290;0,815;
Financ e Outros / Interms Financs;BPAN4;BANCO PAN;PN      N1;341.549.703;0,110;17,867;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.508.883.586;0,977;17,867;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.156.077.326;3,928;17,867;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.731.069;2,384;17,867;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,489;17,867;
Financ e Outros / Interms Financs;ITSA4;ITAUSA;PN  EJB N1;5.209.666.310;2,254;17,867;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.799.907.051;6,241;17,867;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;355.642.848;0,484;17,867;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,989;1,372;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,089;1,372;
Financ e Outros / Previd  Seguros;SULA11;SUL AMERICA;UNT     N2;284.059.601;0,294;1,372;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.901.731.302;3,419;3,690;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON  EJ  NM;1.095.401.258;0,271;3,690;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;274.863.424;0,112;2,910;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,756;2,910;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;726.823.001;2,042;2,910;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN  EDJ N1;251.025.058;0,332;18,469;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON  EDJ N2;1.110.550.596;0,197;18,469;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.547.296.398;17,940;18,469;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.212.486;0,379;0,379;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.111.956.242;1,618;2,642;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;686.077.578;0,427;2,642;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;589.695.175;0,406;2,642;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.014.562;0,191;2,642;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,374;14,327;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;0,975;14,327;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.684.384.823;3,982;14,327;
